FID,FID_CVNWR_,Year,Name,Transect__,Lat,Long,Datum,Slope,Modified,Order_,Embed,Flow_Regim,Dry,Moist,Seep,Pool,Riffle,Run,Substrate,Sand,Gravel,Pebble,Cobble,Boulder,Bedrock,Silt,Detritus,Clay,Muck,Artificial,Rip_Width,Rip_Widt_1,Land_Use_1,Use_1__,Land_Use_2,Use_2__,Land_Use_3,Use_3__,Disturbanc,DDLat,DDLon,ORIG_OID,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,FID_Catchm,Source,FEATUREID,NextDownID,Shape_Leng,Shape_Area,AreaSqKM
0,5,2004,Freeland Run,1,39.011440000000000,-79.409419999999997,NAD83,6,FALSE,H,75, ,0,70,0,10,10,10, ,5,2,0,5,30,0,8,50,0,0,0,1,1,mature forest,100, ,0, ,0, ,39.01144000N,079.40942000W,5,62868,0.006213042280530,-79.415139027099997,39.013867884500002,62741,Delineation,205401164.000000000000000,205400910.000000000000000,10440.000000000000000,3346200.000000000000000,3.346200000000000
1,13,2005,Freeland Run,1,39.011440000000000,-79.409419999999997,NAD83,6,FALSE,H,0, ,0,20,40,40,0,0, ,5,0,0,5,30,0,10,50,0,0,0,1,1,mature forest,100, ,0, ,0, ,39.01144000N,079.40942000W,13,62868,0.006213042280530,-79.415139027099997,39.013867884500002,62741,Delineation,205401164.000000000000000,205400910.000000000000000,10440.000000000000000,3346200.000000000000000,3.346200000000000
2,21,2006,Freeland Run,1,39.011440000000000,-79.409419999999997,NAD83,6,FALSE,H,80, ,0,20,0,40,20,20, ,5,0,0,5,30,0,0,60,0,0,0,1,1,mature forest,100, ,0, ,0,headwater stream in spruce dominated forest,39.01144000N,079.40942000W,21,62868,0.006213042280530,-79.415139027099997,39.013867884500002,62741,Delineation,205401164.000000000000000,205400910.000000000000000,10440.000000000000000,3346200.000000000000000,3.346200000000000
3,6,2004,Freeland Run,2,39.015470000000001,-79.418310000000005,NAD83,6,FALSE,H,0, ,0,15,0,0,85,0, ,0,10,0,20,0,60,10,0,0,0,0,1,1,mature forest,100, ,0, ,0, ,39.01547000N,079.41831000W,6,62868,0.002662114470970,-79.415867799899999,39.016529486700001,62741,Delineation,205401164.000000000000000,205400910.000000000000000,10440.000000000000000,3346200.000000000000000,3.346200000000000
4,14,2005,Freeland Run,2,39.015470000000001,-79.415530000000004,NAD83,6,FALSE,1,70, ,5,25,30,30,10,0, ,5,25,20,30,20,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0, ,39.01547000N,079.41553000W,14,62868,0.000435980100593,-79.415211845300007,39.015768087600001,62741,Delineation,205401164.000000000000000,205400910.000000000000000,10440.000000000000000,3346200.000000000000000,3.346200000000000
5,22,2006,Freeland Run,2,39.015470000000001,-79.415530000000004,NAD83,6,FALSE,1,70, ,5,20,0,40,15,20, ,0,10,20,40,10,0,10,10,0,0,0,1,1,mature forest,100, ,0, ,0,old logging road w/ culvert at bottom of transect,39.01547000N,079.41553000W,22,62868,0.000435980100593,-79.415211845300007,39.015768087600001,62741,Delineation,205401164.000000000000000,205400910.000000000000000,10440.000000000000000,3346200.000000000000000,3.346200000000000
6,7,2004,Freeland Run,3,39.025309999999998,-79.422529999999995,NAD83,2,FALSE,2,10, ,0,20,0,0,80,0, ,5,17,10,60,5,0,3,0,0,0,0,2,3,agricultural/field,60,mature forest,40, ,0,transect is 10m from road; stream goes thru culvert. Cattle grazing up stream from transect,39.02531000N,079.42253000W,7,62606,0.001550804015970,-79.421939449600004,39.026743960700003,62660,Delineation,205400902.000000000000000,205400838.000000000000000,6720.000000009999894,1542600.000000000000000,1.542600000000000
7,15,2005,Freeland Run,3,39.025309999999998,-79.422529999999995,NAD83,2,TRUE,2,40, ,5,25,25,5,30,10, ,5,20,60,15,0,0,0,0,0,0,0,2,3,agricultural/field,60,mature forest,40, ,0,transect starts 10m down stream from road & culvert,39.02531000N,079.42253000W,15,62606,0.001550804015970,-79.421939449600004,39.026743960700003,62660,Delineation,205400902.000000000000000,205400838.000000000000000,6720.000000009999894,1542600.000000000000000,1.542600000000000
8,23,2006,Freeland Run,3,39.025309999999998,-79.422529999999995,NAD83,2,TRUE,2,40, ,0,20,0,0,40,40, ,0,30,30,10,0,0,25,5,0,0,0,2,3,agricultural/field,60,mature forest,40, ,0,culvert exists up stream from start of transect; stream is extremely silted from cattle grazing up stream,39.02531000N,079.42253000W,23,62606,0.001550804015970,-79.421939449600004,39.026743960700003,62660,Delineation,205400902.000000000000000,205400838.000000000000000,6720.000000009999894,1542600.000000000000000,1.542600000000000
9,0,2004,Idleman's Run,1,39.025689999999997,-79.400329999999997,NAD83,15,FALSE,H,30, ,30,30,10,20,10,0, ,10,20,20,40,0,0,0,10,0,0,0,1,1,mature forest,100, ,0, ,0,none,39.02569000N,079.40033000W,0,62509,0.004442916174030,-79.403308901900004,39.028986308199997,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
10,8,2005,Idleman's Run,1,39.025689999999997,-79.400329999999997,NAD83,15,FALSE,H,80, ,0,20,50,10,20,0, ,5,5,20,70,0,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,none,39.02569000N,079.40033000W,8,62509,0.004442916174030,-79.403308901900004,39.028986308199997,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
11,16,2006,Idleman's Run,1,39.025689999999997,-79.400329999999997,NAD83,15,FALSE,H,60, ,0,50,0,30,20,0, ,5,20,30,40,5,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,none,39.02569000N,079.40033000W,16,62509,0.004442916174030,-79.403308901900004,39.028986308199997,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
12,1,2004,Idleman's Run,2,39.027110000000000,-79.401809999999998,NAD83,20,FALSE,1,30, ,0,30,20,30,20,0, ,0,10,40,40,5,0,0,5,0,0,0,1,1,mature forest,100, ,0, ,0,past logging activity,39.02711000N,079.40181000W,1,62509,0.002401507712760,-79.403308901900004,39.028986308199997,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
13,9,2005,Idleman's Run,2,39.027110000000000,-79.401809999999998,NAD83,20,FALSE,1,0, ,0,20,10,30,20,20, ,5,5,10,20,60,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,past logging activity,39.02711000N,079.40181000W,9,62509,0.002401507712760,-79.403308901900004,39.028986308199997,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
14,17,2006,Idleman's Run,2,39.027110000000000,-79.401809999999998,NAD83,20,FALSE,1,40, ,0,40,0,20,30,10, ,5,20,30,40,0,0,0,5,0,0,0,1,1,mature forest,100, ,0, ,0,past logging activity,39.02711000N,079.40181000W,17,62509,0.002401507712760,-79.403308901900004,39.028986308199997,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
15,2,2004,Idleman's Run,3,39.037059999999997,-79.416439999999994,NAD83,0,FALSE,2,0, ,0,50,0,40,10,0, ,0,90,5,0,0,0,0,5,0,0,0,2,2,mature forest,60,meadow/marsh,40, ,0,none,39.03706000N,079.41644000W,2,62509,0.000139814846813,-79.416522220199994,39.036946915800002,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
16,10,2005,Idleman's Run,3,39.037059999999997,-79.416439999999994,NAD83,0,FALSE,2,30, ,0,50,0,30,20,0, ,0,90,5,0,0,0,0,5,0,0,0,2,2,mature forest,60,meadow/marsh,40, ,0,none,39.03706000N,079.41644000W,10,62509,0.000139814846813,-79.416522220199994,39.036946915800002,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
17,18,2006,Idleman's Run,3,39.037059999999997,-79.416439999999994,NAD83,2,FALSE,2,30, ,15,10,0,15,30,30, ,10,10,50,25,0,0,0,5,0,0,0,2,2,mature forest,60,meadow/marsh,40, ,0,none,39.03706000N,079.41644000W,18,62509,0.000139814846813,-79.416522220199994,39.036946915800002,62423,Delineation,205400805.000000000000000,205400611.000000000000000,10140.000000000000000,2428200.000000000000000,2.428200000000000
18,4,2004,Cortland,2,39.086280000000002,-79.440719999999999,NAD83,4,TRUE,1,50, ,0,80,0,0,20,0, ,10,15,20,10,0,0,30,15,0,0,0,1,1,mature forest,100, ,0, ,0,new culvert put in up slope ~100m. Silt fences in place. Trash & debris present,39.08628000N,079.44072000W,4,61561,0.002869461001670,-79.438655885900005,39.084286701400003,61520,Delineation,205399857.000000000000000,205400057.000000000000000,7800.000000000000000,2254500.000000000000000,2.254500000000000
19,12,2005,Cortland,2,39.086280000000002,-79.440719999999999,NAD83,4,TRUE,1,50, ,0,60,30,0,10,0, ,5,40,50,5,0,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,siltation & old silt fences; culvert replaced two years ago ~100m up slope,39.08628000N,079.44072000W,12,61561,0.002869461001670,-79.438655885900005,39.084286701400003,61520,Delineation,205399857.000000000000000,205400057.000000000000000,7800.000000000000000,2254500.000000000000000,2.254500000000000
20,20,2006,Cortland,2,39.086280000000002,-79.440719999999999,NAD83,4,TRUE,1,0, ,10,20,0,0,35,35, ,0,30,30,20,0,0,0,20,0,0,0,1,1,mature forest,100, ,0, ,0,culvert replaced 3 years ago ~100m up slope,39.08628000N,079.44072000W,20,61561,0.002869461001670,-79.438655885900005,39.084286701400003,61520,Delineation,205399857.000000000000000,205400057.000000000000000,7800.000000000000000,2254500.000000000000000,2.254500000000000
21,3,2004,Camp 70-Yellow Creek,0,39.136920000000003,-79.405109999999993,NAD83,10,FALSE,1,20, ,0,40,0,0,60,0, ,20,25,10,42,3,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,none,39.13692000N,079.40511000W,3,60393,0.002023307882120,-79.404887864200006,39.134908923099999,60387,Delineation,205398689.000000000000000,205398681.000000000000000,9900.000000010000804,3506400.000000000000000,3.506400000000000
22,11,2005,Camp 70-Yellow Creek,0,39.136920000000003,-79.405109999999993,NAD83,10,FALSE,1,20, ,0,40,0,10,50,0, ,10,10,60,20,0,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,none,39.13692000N,079.40511000W,11,60393,0.002023307882120,-79.404887864200006,39.134908923099999,60387,Delineation,205398689.000000000000000,205398681.000000000000000,9900.000000010000804,3506400.000000000000000,3.506400000000000
23,19,2006,Camp 70-Yellow Creek,0,39.136920000000003,-79.405109999999993,NAD83,10,FALSE,1,20, ,0,10,0,0,45,45, ,25,25,25,25,0,0,0,0,0,0,0,1,1,mature forest,100, ,0, ,0,none,39.13692000N,079.40511000W,19,60393,0.002023307882120,-79.404887864200006,39.134908923099999,60387,Delineation,205398689.000000000000000,205398681.000000000000000,9900.000000010000804,3506400.000000000000000,3.506400000000000